"circle","title","size","new_release"
"GRINP","お兄ちゃんはおしまい!35","B5","true"
"GRINP","みなとくんはおしまい？３","B5","true"
"GRINP","お兄ちゃんはおしまい！３４","B5","false"
"GRINP","みなとくんはおしまい？２","B5","false"
"GRINP","みなとくんはおしまい？","B5","false"
"菊地桑港","DOG PROBLEMS","A5","true"
"菊地桑港","今日から私は","A5","false"
