"circle","title","published_on","medium","size","digital","adult","notes"
"Neotopia Sounds","A-Hardnation 3 -The Final-","2024-10-27","CD","","false","false",""
"Neotopia Sounds","Sanotch - Festa","2024-12-07","CD","","false","false",""
"Neotopia Sounds","Harder Connection","2025-04-27","CD","","false","false",""
"Neotopia Sounds","Sanotch Book Vol.1 ""Drum & Bass""","2025-10-26","CD","","false","false",""
