"circle","source","content","read"
"U.S.S.ユキカゼ","X","あなたのサークル「U.S.S.ユキカゼ」は、Comic Marketで「西お10a」に配置されました！
コミケ受かったよー！","true"
"U.S.S.ユキカゼ","X","Comic Marketの新刊は…ございません！","false"
"Neotopia Sounds","X","【#M3春 お品書き📝】

4/27(日) M3-2025春 東京流通センター(TRC)
第一展示場 ""A-05b""

💿新譜1
Best Album『想い、紡いで』
記念冊子セット：4,000円
単品：3,000円
🎁会場特典「直筆サイン入りジャケットカード」","false"
"ビ ビ ビ ビ ッ ト ！！","X","🎶💿M3に出店💿🎶

音系・メディアミックス同人即売会M3
🗓️4月27日(日)
ブース番号:A-01a
#M3 #M3春 #M3春2025","true"
"ビ ビ ビ ビ ッ ト ！！","X","🔳🔳🔳 モノクロシリーズ 🔳🔳🔳

イベント当日にだけ販売される激レアグッズ🔥🔥
🆕MDコースターの黒も登場‼️

／
📣このタイミングをお見逃しなく〜‼︎
＼

🔳🔳🔳🔳🔳🔳🔳🔳🔳🔳🔳🔳","false"
